 Val contrastive loss, Val bce loss, Val total loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.014073,0.374166,0.388238,0.822791,0.833137,0.675835,0.746287,0.818082,0.915036,0.863847,0.822791,0.822791,0.822791,0.825609,0.795435,0.805067
0.016965,0.336014,0.352978,0.861586,0.928889,0.694222,0.794592,0.834334,0.96664,0.895627,0.861586,0.861586,0.861586,0.881612,0.830431,0.845109
0.01558,0.292999,0.308579,0.872951,0.827132,0.847715,0.837297,0.902894,0.888791,0.895787,0.872951,0.872951,0.872951,0.865013,0.868253,0.866542
0.014915,0.307238,0.322152,0.866112,0.779807,0.909677,0.839751,0.936686,0.838767,0.885026,0.866112,0.866112,0.866112,0.858247,0.874222,0.862388
0.012532,0.289514,0.302046,0.865024,0.754006,0.964737,0.846453,0.973156,0.802435,0.879588,0.865024,0.865024,0.865024,0.863581,0.883586,0.863021
0.015855,0.217562,0.233417,0.906053,0.872267,0.886152,0.879154,0.927816,0.918545,0.923158,0.906053,0.906053,0.906053,0.900041,0.902349,0.901156
0.013122,0.214624,0.227746,0.907063,0.852115,0.918392,0.884013,0.946145,0.899953,0.922471,0.907063,0.907063,0.907063,0.89913,0.909172,0.903242
0.014073,0.200213,0.214286,0.918719,0.896613,0.892096,0.894349,0.932482,0.935431,0.933954,0.918719,0.918719,0.918719,0.914548,0.913763,0.914151
0.012973,0.20505,0.218023,0.91363,0.84801,0.945494,0.894103,0.963126,0.893628,0.927076,0.91363,0.91363,0.91363,0.905568,0.919561,0.91059
0.012425,0.202165,0.21459,0.911162,0.842035,0.947358,0.891597,0.964141,0.888443,0.924745,0.911162,0.911162,0.911162,0.903088,0.9179,0.908171
0.015038,0.228541,0.243579,0.906792,0.833725,0.947207,0.88685,0.963766,0.881423,0.920757,0.906792,0.906792,0.906792,0.898745,0.914315,0.903804
0.012158,0.19684,0.208998,0.918836,0.864031,0.936981,0.899028,0.958229,0.907447,0.932147,0.918836,0.918836,0.918836,0.91113,0.922214,0.915588
0.012169,0.20807,0.22024,0.916777,0.844022,0.961967,0.899143,0.973831,0.888411,0.929162,0.916777,0.916777,0.916777,0.908927,0.925189,0.914153
0.012858,0.204802,0.21766,0.912114,0.835134,0.962017,0.894096,0.973645,0.880791,0.924893,0.912114,0.912114,0.912114,0.904389,0.921404,0.909495
0.011859,0.170016,0.181875,0.928374,0.900218,0.915773,0.907929,0.946551,0.936285,0.94139,0.928374,0.928374,0.928374,0.923384,0.926029,0.924659
0.01251,0.176077,0.188588,0.930181,0.9211,0.895673,0.908209,0.935629,0.951842,0.943666,0.930181,0.930181,0.930181,0.928365,0.923757,0.925937
0.011933,0.169215,0.181148,0.929054,0.890131,0.930935,0.910076,0.955364,0.927874,0.941418,0.929054,0.929054,0.929054,0.922747,0.929404,0.925747
0.011768,0.208554,0.220322,0.918098,0.851585,0.953856,0.899824,0.968674,0.895652,0.930733,0.918098,0.918098,0.918098,0.91013,0.924754,0.915279
0.011446,0.183458,0.194904,0.925227,0.923289,0.87915,0.900679,0.926352,0.95415,0.940046,0.925227,0.925227,0.925227,0.92482,0.91665,0.920362
0.011905,0.204969,0.216873,0.915922,0.844389,0.958642,0.897896,0.97163,0.889107,0.928538,0.915922,0.915922,0.915922,0.90801,0.923874,0.913217
0.012415,0.207975,0.22039,0.920176,0.854326,0.956022,0.902318,0.970166,0.897676,0.932514,0.920176,0.920176,0.920176,0.912246,0.926849,0.917416
0.012807,0.192448,0.205254,0.927792,0.874513,0.948919,0.910198,0.966128,0.91453,0.939621,0.927792,0.927792,0.927792,0.92032,0.931725,0.924909
0.011871,0.171083,0.182954,0.931774,0.895369,0.931993,0.913314,0.956187,0.931636,0.943752,0.931774,0.931774,0.931774,0.925778,0.931815,0.928533
0.011341,0.15466,0.166001,0.935795,0.907577,0.928014,0.917682,0.954166,0.94068,0.947375,0.935795,0.935795,0.935795,0.930872,0.934347,0.932528
0.012367,0.174507,0.186874,0.928802,0.87551,0.950531,0.91148,0.967184,0.915162,0.940454,0.928802,0.928802,0.928802,0.921347,0.932847,0.925967
0.012045,0.17857,0.190615,0.93055,0.877984,0.952244,0.913608,0.968343,0.916933,0.941937,0.93055,0.93055,0.93055,0.923164,0.934589,0.927772
0.011704,0.17113,0.182834,0.928724,0.875278,0.950632,0.9114,0.967242,0.914972,0.940381,0.928724,0.928724,0.928724,0.92126,0.932802,0.925891
0.011152,0.175154,0.186306,0.927908,0.928253,0.881165,0.904096,0.927709,0.957249,0.942248,0.927908,0.927908,0.927908,0.927981,0.919207,0.923172
0.01118,0.174177,0.185358,0.936864,0.88555,0.960405,0.92146,0.973754,0.922087,0.947216,0.936864,0.936864,0.936864,0.929652,0.941246,0.934338
0.011753,0.158124,0.169876,0.935465,0.904706,0.930684,0.917511,0.955692,0.938466,0.947001,0.935465,0.935465,0.935465,0.930199,0.934575,0.932256
0.011415,0.166725,0.17814,0.936417,0.937045,0.89527,0.915681,0.93605,0.962245,0.948967,0.936417,0.936417,0.936417,0.936548,0.928757,0.932324
0.011389,0.152053,0.163441,0.937563,0.911013,0.92882,0.91983,0.954765,0.943051,0.948872,0.937563,0.937563,0.937563,0.932889,0.935936,0.934351
0.012042,0.165328,0.17737,0.938942,0.924406,0.916629,0.920501,0.947943,0.952949,0.950439,0.938942,0.938942,0.938942,0.936174,0.934789,0.93547
0.011752,0.167047,0.1788,0.934319,0.884705,0.954007,0.91805,0.969638,0.92196,0.945198,0.934319,0.934319,0.934319,0.927171,0.937984,0.931624
0.011523,0.183812,0.195334,0.926568,0.915722,0.891643,0.903522,0.933089,0.94849,0.940726,0.926568,0.926568,0.926568,0.924406,0.920066,0.922124
0.011677,0.157084,0.168761,0.93599,0.900833,0.937182,0.918648,0.959545,0.935241,0.947237,0.93599,0.93599,0.93599,0.930189,0.936212,0.932942
0.011279,0.160905,0.172184,0.933484,0.881899,0.955468,0.917211,0.970503,0.919684,0.94441,0.933484,0.933484,0.933484,0.926201,0.937576,0.93081
0.012127,0.154424,0.166551,0.936262,0.894111,0.946854,0.919727,0.965358,0.929613,0.947148,0.936262,0.936262,0.936262,0.929734,0.938233,0.933437
0.011795,0.157479,0.169274,0.940943,0.916712,0.93149,0.924042,0.956556,0.946877,0.951692,0.940943,0.940943,0.940943,0.936634,0.939184,0.937867
0.012617,0.16177,0.174386,0.939564,0.927914,0.914312,0.921063,0.946704,0.955415,0.951039,0.939564,0.939564,0.939564,0.937309,0.934863,0.936051
0.011308,0.16036,0.171668,0.936825,0.936196,0.897335,0.916354,0.937194,0.961613,0.949246,0.936825,0.936825,0.936825,0.936695,0.929474,0.9328
0.011635,0.159003,0.170639,0.940633,0.930486,0.914362,0.922354,0.946823,0.957123,0.951945,0.940633,0.940633,0.940633,0.938655,0.935742,0.937149
0.01115,0.151862,0.163011,0.938165,0.905035,0.938089,0.921265,0.960227,0.938213,0.949092,0.938165,0.938165,0.938165,0.932631,0.938151,0.935179
0.012073,0.151827,0.1639,0.941701,0.936755,0.910282,0.923328,0.944665,0.961423,0.95297,0.941701,0.941701,0.941701,0.94071,0.935852,0.938149
0.011273,0.157973,0.169246,0.941235,0.929278,0.917435,0.923319,0.948585,0.956174,0.952364,0.941235,0.941235,0.941235,0.938932,0.936804,0.937842
0.011933,0.159751,0.171683,0.937349,0.897599,0.945393,0.920876,0.964538,0.9323,0.948145,0.937349,0.937349,0.937349,0.931069,0.938847,0.934511
0.011429,0.185181,0.19661,0.93904,0.929486,0.911037,0.920169,0.944845,0.956617,0.950694,0.93904,0.93904,0.93904,0.937165,0.933827,0.935432
0.011771,0.152814,0.164585,0.941546,0.917046,0.932799,0.924856,0.957358,0.947036,0.952169,0.941546,0.941546,0.941546,0.937202,0.939917,0.938512
0.011208,0.152614,0.163822,0.939195,0.894605,0.954813,0.923729,0.970385,0.929391,0.949446,0.939195,0.939195,0.939195,0.932495,0.942102,0.936588
0.011374,0.148693,0.160067,0.943313,0.938656,0.912649,0.92547,0.946107,0.962561,0.954263,0.943313,0.943313,0.943313,0.942382,0.937605,0.939867
0.011163,0.144674,0.155838,0.941837,0.923862,0.925445,0.924653,0.953151,0.952126,0.952639,0.941837,0.941837,0.941837,0.938507,0.938786,0.938646
0.011333,0.146446,0.157779,0.940788,0.913277,0.935268,0.924141,0.958744,0.944253,0.951443,0.940788,0.940788,0.940788,0.93601,0.93976,0.937792
0.011131,0.153471,0.164601,0.940691,0.915751,0.931943,0.923776,0.956801,0.946182,0.951462,0.940691,0.940691,0.940691,0.936276,0.939062,0.937619
0.01172,0.176759,0.188478,0.941526,0.914211,0.936225,0.925087,0.959354,0.944854,0.952049,0.941526,0.941526,0.941526,0.936783,0.940539,0.938568
0.011181,0.147873,0.159054,0.941895,0.910339,0.942119,0.925956,0.962854,0.941755,0.952188,0.941895,0.941895,0.941895,0.936596,0.941937,0.939072
0.011922,0.168312,0.180234,0.943255,0.909808,0.946703,0.927889,0.965672,0.941091,0.953223,0.943255,0.943255,0.943255,0.93774,0.943897,0.940556
0.011407,0.15692,0.168327,0.942711,0.926818,0.924437,0.925626,0.952646,0.954182,0.953413,0.942711,0.942711,0.942711,0.939732,0.939309,0.93952
0.012797,0.158318,0.171114,0.940943,0.909206,0.940809,0.924738,0.962017,0.941028,0.951407,0.940943,0.940943,0.940943,0.935612,0.940918,0.938072
0.011273,0.146516,0.157789,0.941448,0.913625,0.936729,0.925032,0.959644,0.944411,0.951967,0.941448,0.941448,0.941448,0.936634,0.94057,0.938499
0.012029,0.163219,0.175248,0.937311,0.887795,0.958592,0.921836,0.972638,0.923953,0.947671,0.937311,0.937311,0.937311,0.930217,0.941272,0.934753
0.011532,0.151652,0.163185,0.94409,0.938058,0.91547,0.926627,0.947731,0.962055,0.954839,0.94409,0.94409,0.94409,0.942894,0.938763,0.940733
0.011077,0.163789,0.174866,0.943663,0.939122,0.913103,0.92593,0.946387,0.962846,0.954545,0.943663,0.943663,0.943663,0.942755,0.937974,0.940238
0.011089,0.149735,0.160824,0.944945,0.923962,0.934109,0.929008,0.958353,0.951747,0.955039,0.944945,0.944945,0.944945,0.941158,0.942928,0.942023
0.011304,0.150796,0.1621,0.942808,0.924266,0.927711,0.925986,0.954518,0.952285,0.9534,0.942808,0.942808,0.942808,0.939392,0.939998,0.939693
0.011379,0.15479,0.166169,0.942575,0.92896,0.921566,0.925248,0.951012,0.955763,0.953381,0.942575,0.942575,0.942575,0.939986,0.938664,0.939315
0.011781,0.152271,0.164052,0.943508,0.917912,0.937333,0.927521,0.960135,0.947383,0.953716,0.943508,0.943508,0.943508,0.939023,0.942358,0.940619
0.01113,0.156957,0.168087,0.944751,0.928366,0.928366,0.928366,0.955036,0.955036,0.955036,0.944751,0.944751,0.944751,0.941701,0.941701,0.941701
0.011743,0.160381,0.172125,0.945625,0.92613,0.933454,0.929777,0.958021,0.953265,0.955637,0.945625,0.945625,0.945625,0.942075,0.94336,0.942707
0.011631,0.152414,0.164045,0.947471,0.927841,0.936628,0.932214,0.959983,0.954277,0.957122,0.947471,0.947471,0.947471,0.943912,0.945452,0.944668
0.011846,0.155447,0.167293,0.942692,0.942365,0.906856,0.92427,0.942885,0.965186,0.953905,0.942692,0.942692,0.942692,0.942625,0.936021,0.939087
0.011477,0.162233,0.173711,0.942944,0.899405,0.959347,0.92841,0.973368,0.932648,0.952573,0.942944,0.942944,0.942944,0.936387,0.945998,0.940491
0.011445,0.165727,0.177172,0.945567,0.932123,0.926301,0.929203,0.95392,0.95766,0.955786,0.945567,0.945567,0.945567,0.943022,0.941981,0.942495
0.011447,0.175105,0.186552,0.938185,0.889226,0.959196,0.922887,0.973057,0.924996,0.948418,0.938185,0.938185,0.938185,0.931141,0.942096,0.935652
0.011155,0.166107,0.177262,0.939078,0.892316,0.957584,0.923798,0.972094,0.927462,0.949254,0.939078,0.939078,0.939078,0.932205,0.942523,0.936526
0.011481,0.147476,0.158957,0.948364,0.937325,0.928165,0.932722,0.955184,0.961043,0.958105,0.948364,0.948364,0.948364,0.946255,0.944604,0.945414
0.011087,0.149736,0.160823,0.944809,0.913145,0.946955,0.929743,0.965911,0.943462,0.954555,0.944809,0.944809,0.944809,0.939528,0.945209,0.942149
0.011306,0.158296,0.169602,0.946208,0.919623,0.942925,0.931128,0.963595,0.948269,0.95587,0.946208,0.946208,0.946208,0.941609,0.945597,0.943499
0.011037,0.176234,0.187272,0.940749,0.907139,0.942874,0.924662,0.963233,0.939415,0.951175,0.940749,0.940749,0.940749,0.935186,0.941145,0.937918
0.011799,0.158074,0.169872,0.944382,0.91177,0.947459,0.929272,0.966189,0.942451,0.954172,0.944382,0.944382,0.944382,0.93898,0.944955,0.941722
0.011293,0.154632,0.165925,0.944537,0.91788,0.940305,0.928957,0.961946,0.947194,0.954513,0.944537,0.944537,0.944537,0.939913,0.943749,0.941735
0.011274,0.154485,0.165758,0.945722,0.917184,0.944537,0.93066,0.964522,0.946466,0.955409,0.945722,0.945722,0.945722,0.940853,0.945502,0.943034
0.011575,0.151318,0.162893,0.947995,0.930556,0.934915,0.93273,0.959026,0.956206,0.957614,0.947995,0.947995,0.947995,0.944791,0.94556,0.945172
0.011648,0.152414,0.164063,0.9458,0.923497,0.937081,0.93024,0.960138,0.951273,0.955685,0.9458,0.9458,0.9458,0.941817,0.944177,0.942962
0.010989,0.169825,0.180814,0.941254,0.900433,0.95305,0.925995,0.969408,0.93385,0.951297,0.941254,0.941254,0.941254,0.93492,0.94345,0.938646
0.010876,0.145518,0.156394,0.946169,0.924411,0.937031,0.930678,0.960133,0.951905,0.956001,0.946169,0.946169,0.946169,0.942272,0.944468,0.94334
0.011666,0.174481,0.186147,0.942439,0.903055,0.95305,0.927379,0.969469,0.935779,0.952326,0.942439,0.942439,0.942439,0.936262,0.944414,0.939853
0.011457,0.15998,0.171437,0.93834,0.888361,0.960858,0.923189,0.974104,0.924206,0.948499,0.93834,0.93834,0.93834,0.931233,0.942532,0.935844
0.010919,0.1538,0.16472,0.946868,0.925432,0.937787,0.931569,0.960619,0.952569,0.956577,0.946868,0.946868,0.946868,0.943026,0.945178,0.944073
0.011501,0.159735,0.171236,0.945567,0.923536,0.936376,0.929911,0.959712,0.951336,0.955505,0.945567,0.945567,0.945567,0.941624,0.943856,0.942708
0.011339,0.181805,0.193144,0.943022,0.961182,0.888116,0.923206,0.932969,0.977486,0.954709,0.943022,0.943022,0.943022,0.947076,0.932801,0.938957
0.010997,0.147826,0.158823,0.946655,0.924589,0.93819,0.93134,0.96084,0.951968,0.956384,0.946655,0.946655,0.946655,0.942715,0.945079,0.943862
0.011045,0.153301,0.164346,0.945334,0.915679,0.945292,0.93025,0.964949,0.94536,0.955054,0.945334,0.945334,0.945334,0.940314,0.945326,0.942652
0.010971,0.15675,0.167721,0.943411,0.915636,0.939852,0.927586,0.961608,0.945644,0.953559,0.943411,0.943411,0.943411,0.938622,0.942748,0.940573
0.012208,0.153041,0.165249,0.945936,0.909344,0.955015,0.93162,0.970844,0.940237,0.955295,0.945936,0.945936,0.945936,0.940094,0.947626,0.943458
0.01194,0.176161,0.188101,0.944226,0.908527,0.951136,0.929343,0.968398,0.939889,0.953931,0.944226,0.944226,0.944226,0.938462,0.945513,0.941637
0.011168,0.154212,0.16538,0.946422,0.912217,0.952748,0.932042,0.969489,0.942451,0.955779,0.946422,0.946422,0.946422,0.940853,0.947599,0.94391
0.01102,0.148909,0.159929,0.945975,0.916626,0.945947,0.931056,0.965376,0.945992,0.955586,0.945975,0.945975,0.945975,0.941001,0.94597,0.943321
0.011113,0.177049,0.188162,0.940963,0.959394,0.884338,0.920339,0.930798,0.976506,0.953104,0.940963,0.940963,0.940963,0.945096,0.930422,0.936721
0.010989,0.176336,0.187325,0.940535,0.90709,0.94232,0.924369,0.96289,0.939415,0.951008,0.940535,0.940535,0.940535,0.93499,0.940868,0.937688
0.011262,0.166781,0.178043,0.94646,0.94763,0.911541,0.929235,0.945771,0.968379,0.956942,0.94646,0.94646,0.94646,0.9467,0.93996,0.943088
0.011219,0.166053,0.177272,0.945062,0.907776,0.954511,0.930557,0.970493,0.93913,0.954554,0.945062,0.945062,0.945062,0.939134,0.946821,0.942556
0.010817,0.160169,0.170986,0.943255,0.909254,0.947408,0.927939,0.966095,0.940648,0.953202,0.943255,0.943255,0.943255,0.937674,0.944028,0.94057
0.01128,0.170342,0.181622,0.946849,0.946331,0.914009,0.929889,0.947157,0.967462,0.957202,0.946849,0.946849,0.946849,0.946744,0.940736,0.943546
0.011282,0.151174,0.162456,0.948403,0.938447,0.927006,0.932691,0.95453,0.961834,0.958168,0.948403,0.948403,0.948403,0.946488,0.94442,0.94543
0.011266,0.171837,0.183103,0.941507,0.898335,0.956576,0.926541,0.971587,0.932047,0.951406,0.941507,0.941507,0.941507,0.934961,0.944312,0.938974
0.011995,0.163046,0.175042,0.942497,0.901116,0.95577,0.927639,0.971138,0.934166,0.952293,0.942497,0.942497,0.942497,0.936127,0.944968,0.939966
0.011067,0.147089,0.158156,0.945198,0.915853,0.944688,0.930047,0.964581,0.945518,0.954954,0.945198,0.945198,0.945198,0.940217,0.945103,0.9425
0.010971,0.160437,0.171408,0.946616,0.930048,0.931641,0.930844,0.957045,0.956016,0.95653,0.946616,0.946616,0.946616,0.943546,0.943828,0.943687
0.011351,0.145769,0.15712,0.946674,0.933063,0.928316,0.930684,0.955147,0.958198,0.95667,0.946674,0.946674,0.946674,0.944105,0.943257,0.943677
0.010867,0.162137,0.173003,0.944926,0.909748,0.951589,0.930198,0.968709,0.940743,0.954521,0.944926,0.944926,0.944926,0.939228,0.946166,0.94236
0.011316,0.164219,0.175535,0.946519,0.945168,0.914362,0.92951,0.947323,0.966704,0.956915,0.946519,0.946519,0.946519,0.946245,0.940533,0.943212
0.011394,0.159977,0.171371,0.946189,0.936163,0.92343,0.929752,0.952344,0.960474,0.956392,0.946189,0.946189,0.946189,0.944253,0.941952,0.943072
0.011386,0.15899,0.170376,0.948889,0.927168,0.941414,0.934237,0.962867,0.953581,0.958202,0.948889,0.948889,0.948889,0.945018,0.947497,0.946219
0.011265,0.16039,0.171655,0.943411,0.914335,0.941464,0.927701,0.96256,0.944632,0.953512,0.943411,0.943411,0.943411,0.938447,0.943048,0.940606
0.011607,0.159558,0.171165,0.948597,0.943679,0.921717,0.932569,0.951569,0.96547,0.958469,0.948597,0.948597,0.948597,0.947624,0.943594,0.945519
0.011154,0.157158,0.168312,0.948597,0.948304,0.916679,0.932223,0.948772,0.968632,0.958599,0.948597,0.948597,0.948597,0.948538,0.942656,0.945411
0.011069,0.1717,0.18277,0.948772,0.933821,0.933303,0.933562,0.958149,0.958482,0.958316,0.948772,0.948772,0.948772,0.945985,0.945893,0.945939
0.011281,0.162509,0.173791,0.945722,0.933557,0.925092,0.929305,0.953246,0.958672,0.955951,0.945722,0.945722,0.945722,0.943402,0.941882,0.942628
0.010923,0.162025,0.172948,0.945101,0.910063,0.95169,0.930411,0.96878,0.940964,0.954669,0.945101,0.945101,0.945101,0.939421,0.946327,0.94254
0.011475,0.162103,0.173578,0.946596,0.915783,0.948768,0.931984,0.967098,0.945233,0.956041,0.946596,0.946596,0.946596,0.941441,0.947001,0.944012
0.011198,0.158526,0.169724,0.943857,0.914796,0.942169,0.928281,0.963005,0.944917,0.953875,0.943857,0.943857,0.943857,0.9389,0.943543,0.941078
0.011005,0.163589,0.174594,0.947937,0.951607,0.911339,0.931038,0.945788,0.970909,0.958184,0.947937,0.947937,0.947937,0.948697,0.941124,0.944611
0.012323,0.156928,0.169251,0.945353,0.918254,0.942169,0.930058,0.963096,0.947352,0.955159,0.945353,0.945353,0.945353,0.940675,0.94476,0.942609
0.010954,0.168677,0.17963,0.94751,0.919147,0.947207,0.932966,0.966214,0.9477,0.956867,0.94751,0.94751,0.94751,0.942681,0.947453,0.944917
0.011233,0.167438,0.178671,0.945975,0.920195,0.941565,0.930757,0.962778,0.948743,0.955709,0.945975,0.945975,0.945975,0.941486,0.945154,0.943233
0.011108,0.174498,0.185605,0.947024,0.930988,0.931691,0.931339,0.957102,0.956648,0.956875,0.947024,0.947024,0.947024,0.944045,0.94417,0.944107
0.011099,0.163587,0.174686,0.948345,0.932612,0.933505,0.933058,0.958236,0.95766,0.957948,0.948345,0.948345,0.948345,0.945424,0.945582,0.945503
0.010815,0.157885,0.1687,0.949083,0.932523,0.935671,0.934094,0.959535,0.957502,0.958517,0.949083,0.949083,0.949083,0.946029,0.946586,0.946306
0.011162,0.187554,0.198716,0.946538,0.948487,0.910836,0.92928,0.945392,0.968949,0.957026,0.946538,0.946538,0.946538,0.946939,0.939892,0.943153
0.011059,0.170111,0.18117,0.945625,0.953077,0.903481,0.927616,0.941331,0.972079,0.956458,0.945625,0.945625,0.945625,0.947204,0.93778,0.942037
0.011022,0.180735,0.191757,0.944809,0.905618,0.956576,0.9304,0.971745,0.937423,0.954276,0.944809,0.944809,0.944809,0.938682,0.947,0.942338
0.011056,0.164638,0.175693,0.950326,0.933738,0.937736,0.935733,0.960812,0.958229,0.959519,0.950326,0.950326,0.950326,0.947275,0.947983,0.947626
0.011083,0.16136,0.172443,0.944906,0.914858,0.945091,0.929729,0.964804,0.944791,0.954692,0.944906,0.944906,0.944906,0.939831,0.944941,0.942211
0.011078,0.165119,0.176197,0.948189,0.949796,0.913959,0.931533,0.947242,0.969676,0.958327,0.948189,0.948189,0.948189,0.948519,0.941817,0.94493
0.011173,0.162196,0.173369,0.945178,0.909607,0.952496,0.930558,0.969272,0.940585,0.954713,0.945178,0.945178,0.945178,0.93944,0.946541,0.942635
0.011413,0.163351,0.174764,0.947335,0.919522,0.94625,0.932694,0.965634,0.948016,0.956744,0.947335,0.947335,0.947335,0.942578,0.947133,0.944719
0.010839,0.174992,0.185831,0.949646,0.942697,0.925696,0.93412,0.953882,0.96468,0.95925,0.949646,0.949646,0.949646,0.94829,0.945188,0.946685
0.011155,0.176005,0.18716,0.947121,0.921212,0.94358,0.932262,0.964037,0.949344,0.956634,0.947121,0.947121,0.947121,0.942624,0.946462,0.944448
0.011238,0.167246,0.178484,0.944673,0.907453,0.953806,0.930052,0.970043,0.938941,0.954239,0.944673,0.944673,0.944673,0.938748,0.946373,0.942145
0.011125,0.171132,0.182257,0.948442,0.92683,0.940557,0.933643,0.962338,0.953391,0.957844,0.948442,0.948442,0.948442,0.944584,0.946974,0.945743
0.013381,0.166282,0.179662,0.949258,0.942366,0.924991,0.933598,0.953456,0.96449,0.958941,0.949258,0.949258,0.949258,0.947911,0.944741,0.946269
0.010944,0.166037,0.176982,0.948384,0.92105,0.947358,0.934019,0.966353,0.949028,0.957612,0.948384,0.948384,0.948384,0.943702,0.948193,0.945815
0.011201,0.17041,0.181611,0.945936,0.913349,0.949927,0.931279,0.967759,0.943431,0.95544,0.945936,0.945936,0.945936,0.940554,0.946679,0.943359
