89.3	98.7	99.5	99.9	97.2	95.1	91	92.3
92.1	89	99.4	99.9	91.5	93.3	80.4	95.1
99	93	52.8	52.3	59.3	99.9	83.7	86.8
99.9	96.4	77.5	79.6	69.1	100	99.3	98.4
100	100	99.1	99.7	99.5	100	100	100
100	98.2	100	100	100	100	100	100
100	100	100	100	100	100	100	100
89.3	98.7	99.5	99.9	97.3	95.2	91.4	92.3
92.1	90	99.4	99.9	91.5	93.3	80.6	94.9
99	93.3	51.7	50	59.5	99.9	86.3	87.1
99.9	96.4	77.5	80.7	69.3	100	99.3	98.5
100	100	99.2	99.7	99.5	100	100	100
100	98.2	100	100	100	100	100	100
100	100	100	100	100	100	100	100
89.3	98.7	99.5	99.9	97.1	95	91	92.3
92.1	88.4	99.4	99.9	91.5	93.3	80.5	94.6
99	93	52.8	52.3	59.3	99.9	83.7	86.9
99.9	96.4	76.6	79.6	69.1	100	99.3	98.4
100	100	99.1	99.7	99.5	100	100	100
100	98.2	100	100	100	100	100	100
100	100	100	100	100	100	100	100
89.3	98.7	99.5	99.9	97.1	95.1	91	92.3
92.1	88.8	99.4	99.9	91.5	93.3	80.4	94.7
99	93	44	42.7	59	99.9	83.1	86.9
99.8	96.3	76.4	79.4	69	100	99.3	98.4
100	100	99.1	99.7	99.5	100	100	100
100	98.2	100	100	100	100	100	100
100	100	100	100	100	100	100	100